,Whiskey,Review,Score,Category,Reviewer,Price,Date,Alcohol,Age,finish,finish,fruit,note,sweet,oak,palat,spice,nose,vanilla,dri,year,chocol,old,smoke,sherri,malt,caramel,honey,hint,orang,toffe,pepper,matur,flavor,cinnamon,spici,peat,age,balanc,appl,soft,long,whiskey,releas,light,ginger,rich,citru,dark,water,complex,fresh,aroma,rye,wood,black,fruiti,express,creami,leather,lemon,candi,slightli,blend,peach,singl,ripe,new,subtl,cherri,red,floral,clean,nut,clove,sugar,mint,warm,licoric,smoki,white,milk,polish,almond,grain,mix,gentl,syrup,raisin,tobacco,coconut,hot,linger,textur,nutti,color,littl,peel,nutmeg,toast,bitter,cocoa,cream,green,corn,barley,earthi,develop,pineappl,smooth,pear,well,bake,berri,mouth,wine,follow,salt,oili,medium,brine,fudg,strength,roast,come,charact,big,great,delic,apricot,malti,also,pepperi,love,exclus,banana,full,tropic,emerg,tea,deep,fig,vintag,bodi,much,dram,bright,port,mapl,pie,coffe,domin,best,enjoy,ice,tannin,lengthi,oloroso,depth,fragrant,lush,butterscotch,cake,raspberri,powder,start,golden,eleg,end,tongu,open,differ,silki,spirit,orchard,gold,butt,background,mola,young,beauti,last,mouthfeel,sooth,lime,hogshead,melon,seawe
2150,famous jubilee,"['tribut', 'time', 'edrington', 'group', 'form', 'oneoff', 'blend', 'famou', 'grous', 'sherri', 'element', 'seem', 'show', 'lavish', 'amount', 'dark', 'chocol', 'black', 'cherri', 'littl', 'treacl', 'orang', 'peel', 'water', 'raspberri', 'heather', 'palat', 'show', 'hint', 'smoke', 'build', 'rich', 'flavor', 'toffeeacc', 'finish', 'subtl', 'long', 'â25']",83,blended malt scotch whisky,dave broom,3900.0,2012,40,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2151,wild scotsman,"['pleasingli', 'aromat', 'floral', 'live', 'fruit', 'fresh', 'cereal', 'grain', 'honey', 'vanilla', 'cream', 'subtl', 'grassi', 'hay', 'note', 'add', 'complex', 'friendli', 'whiski', 'conjur', 'imag', 'sunni', 'afternoon', 'spring']",83,blended malt scotch whisky,john hansell,8500.0,2005,46,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2152,eades highland double malt,"['marriag', 'ben', 'nevus', '85', 'clynelish', '15', 'weighti', 'whiski', 'nimbl', 'speysid', 'express', 'flavor', 'linger', 'rummi', 'toffe', 'note', 'roast', 'nut', 'earthi', 'moss', 'jammi', 'fruit', 'teasingli', 'subtl', 'black', 'strap', 'mola', 'clove']",83,blended malt scotch whisky,john hansell,7000.0,2008,46,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2153,wemyss malts spice king,"['na', 'version', 'littl', 'smokier', 'befor', 'ground', 'pepper', 'toast', 'coriand', 'fennel', 'seed', 'dust', 'nutmeg', 'mouthfeel', 'light', 'initi', 'earli', 'orang', 'lime', 'flavor', 'extinguish', 'quickli', 'warm', 'cocoa', 'malt', 'chocol', 'shave', 'black', 'cherri', 'raspberri', 'bubblegum', 'concentr', 'dark', 'fruit', 'complement', 'restrain', 'spice', 'faint', 'smoke', 'follow', 'hot', 'spici', 'cinnamon', 'finish', 'itâ', 'pretti', 'decent', 'palat', 'doesnât', 'quit', 'match', 'promis', 'nose', 'â37']",83,blended malt scotch whisky,jonny mccormick,54.0,2016,46,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2154,double barrel laphroaigmortlach,"['one', 'intrigu', 'doubl', 'barrel', 'seri', 'either', 'complement', 'donât', 'depth', 'need', 'look', 'first', 'itâ', 'laphroaig', 'peat', 'sea', 'burst', 'glass', 'youâr', 'ask', 'point', 'fruiti', 'note', 'mortlach', 'cushion', 'whole', 'land', 'let', 'gentli', 'impress', 'â48']",83,blended malt scotch whisky,dominic roskrow,77.0,2013,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2155,boutiquey whisky company distilled loch lomond batch 1,"['rose', 'petal', 'pomegran', 'toast', 'coriand', 'seed', 'glacã', 'cherri', 'mix', 'tangl', 'bramley', 'appl', 'peel', 'medium', 'weight', 'grain', 'whiski', 'satini', 'textur', 'huge', 'throb', 'pulsat', 'ginger', 'kick', 'full', 'strength', 'yowser', 'water', 'knock', 'fieri', 'ginger', 'quell', 'loch', 'lomond', 'duller', 'spice', 'profil', 'finish', 'ground', 'almond', 'subdu', 'gingerbread', 'activ', 'spice', 'great', 'nose', 'hope', 'greater', 'versatil', 'flavor', 'â38']",83,blended malt scotch whisky,jonny mccormick,60.0,2014,52,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2156,grand macnish six cask edition,"['play', 'region', 'style', 'blend', 'six', 'singl', 'malt', 'repres', 'speysid', 'islay', 'lowland', 'campbeltown', 'island', 'highland', 'whiski', 'region', 'sundri', 'peat', 'greet', 'nose', 'aroma', 'stew', 'appl', 'flaki', 'pastri', 'apricot', 'conserv', 'vanilla', 'cinnamon', 'creami', 'vanilla', 'coconut', 'flavor', 'develop', 'slowburn', 'spici', 'crackl', 'center', 'tongu', 'sevil', 'orang', 'caramel', 'cooki', 'flavor', 'escort', 'long', 'finish', 'dri', 'tingl', 'spice', 'though', 'could', 'use', 'littl', 'heft', 'mouthfeel']",83,blended malt scotch whisky,jonny mccormick,37.0,2015,40,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2157,eades speyside double malt,"['equal', 'marriag', 'longmorn', 'glen', 'moray', 'whiski', 'quit', 'fruiti', 'adventur', 'zingi', 'note', 'brambl', 'strawberri', 'rhubarb', 'sultana', 'nectarin', 'plum', 'fruit', 'sit', 'bed', 'creami', 'vanilla', 'malt', 'longmorn', 'influenc', 'quit', 'evid', 'coat', 'palat', 'long', 'finish']",82,blended malt scotch whisky,john hansell,7000.0,2008,46,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2158,eades islay double malt,"['consist', '60', 'bowmor', '40', 'caol', 'ila', 'bold', 'youth', 'somewhat', 'medicin', 'would', 'expect', 'peat', 'smoke', 'tar', 'pebbl', 'beach', 'boat', 'dock', 'addit', 'flavor', 'smoke', 'oliv', 'exot', 'pepper', 'add', 'intrigu', 'honey', 'malt', 'note', 'sooth', 'palat', 'provid', 'balanc']",82,blended malt scotch whisky,john hansell,7000.0,2008,46,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2159,wemyss vintage malts the peat chimney,"['aggress', 'earthi', 'smoke', 'tar', 'fieri', 'pepper', 'bath', 'soap', 'ginger', 'tame', 'toffe', 'ripe', 'malt', 'linger', 'smolder', 'peat', 'ani', 'tobacco', 'like', 'smoki', 'whiski', 'young', 'aggress', 'unabash']",82,blended malt scotch whisky,john hansell,4000.0,2009,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2160,wemyss vintage malts the spice king,"['nectarin', 'tangerin', 'toffe', 'vanilla', 'nose', 'thereâ', 'also', 'tea', 'smoke', 'look', 'sweet', 'fruiti', 'note', 'start', 'begin', 'palat', 'cinnamon', 'nutmeg', 'cut', 'hay', 'smoke', 'kick', 'linger', 'crack', 'pepper', 'clove', 'distant', 'smoke', 'good', 'gritti', 'textur', 'dynam', 'stuff', 'young', 'whiski']",82,blended malt scotch whisky,john hansell,4000.0,2009,40,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2161,wemyss peat chimney 12 year old,"['problem', 'sell', 'whiski', 'descript', 'deliv', 'claim', 'name', 'troubl', 'littl', 'bit', 'whiski', 'seven', 'year', 'old', 'age', 'though', 'big', 'boy', 'whiski', 'plenti', 'peat', 'seawe', 'oil', 'barbecu', 'fish', 'salti', 'sea', 'note', 'keep', 'hook', 'nice', 'balanc', 'fruit', 'â35']",82,blended malt scotch whisky,dominic roskrow,5500.0,2011,40,12,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2162,master malt reference series ii,"['laudabl', 'effort', 'compar', 'whiski', 'explor', 'effect', 'age', 'combin', 'four', 'parcel', 'stock', 'differ', 'proport', 'older', 'whiski', 'produc', 'entic', 'nose', 'marmaladeencrust', 'ham', 'bone', 'grist', 'worn', 'sandpap', 'itâ', 'sugari', 'sweet', 'ripe', 'melon', 'sherri', 'take', 'control', 'dish', 'cherri', 'candi', 'papaya', 'held', 'mouth', 'develop', 'layer', 'creami', 'latt', 'milk', 'chocol', 'fruit', 'fade', 'get', 'teeth', 'â54']",82,blended malt scotch whisky,jonny mccormick,91.0,2014,47,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2163,exclusive malts blend malts 20 year old 1994,"['whiski', 'undisclos', 'speysid', 'highland', 'distilleri', 'blend', 'togeth', 'firstfil', 'sherri', 'butt', 'nose', 'itâ', 'allur', 'blend', 'orang', 'cherri', 'toffe', 'salt', 'ginger', 'entri', 'follow', 'nose', 'toffe', 'orang', 'ginger', 'malt', 'thing', 'begin', 'drop', 'midpal', 'focus', 'salt', 'ginger', 'strong', 'alcohol', 'underton', 'alcohol', 'drive', 'defin', 'dri', 'finish', 'absent', 'much', 'allur', 'whiski', 'u', 'onli']",82,blended malt scotch whisky,geoffrey kleinman,100.0,2014,50,20,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2164,wemyss malts distilled aultmore 20 year old 1982,"['aultmor', 'part', 'dewarâ', 'stabl', 'anoth', 'speysideâ', 'forgotten', 'light', 'brigad', 'nose', 'ester', 'bubblegum', 'pineappl', 'pink', 'grapefruit', 'strawberri', 'ice', 'sugar', 'vision', 'âœlegal', 'blondeâ', 'flash', 'mind', 'palat', 'equal', 'energet', 'though', 'littl', 'cask', 'influenc', 'itâ', 'bit', 'gawki', 'slightli', 'green', 'especi', 'water', 'suggest', 'anoth', 'year', 'wouldnât', 'done', 'harm', 'still', 'love', 'â100']",81,blended malt scotch whisky,dave broom,15500.0,2013,46,20,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2165,william grant rare cask reserves annasach reserve 25 year old,"['william', 'grant', 'son', 'rare', 'cask', 'reserv', 'microblend', 'creat', 'jointli', 'brian', 'kinsman', 'variou', 'liquor', 'store', 'proprietor', 'draw', 'choic', '40', 'differ', 'singl', 'malt', 'importantli', 'glenfiddich', 'balveni', 'quit', 'herbal', 'tarragon', 'cilantro', 'boil', 'candi', 'unrip', 'plum', 'slow', 'starter', 'veget', 'note', 'yield', 'fudg', 'milk', 'chocol', 'orang', 'malti', 'pepper', 'oak', 'spice', 'latter', 'phase', 'stock', 'five', 'u', 'retail']",81,blended malt scotch whisky,jonny mccormick,340.0,2015,46,25,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2166,mcdougalls selection,"['blend', 'four', 'differ', 'islay', 'malt', 'whiski', 'pungent', 'merciless', 'islay', 'whiski', 'intens', 'peat', 'reek', 'tarri', 'rope', 'raw', 'seawe', 'fieri', 'cinnamon', 'clove', 'evergreen', 'unsweeten', 'black', 'licoric', 'stick', 'add', 'fuel', 'fire', 'underbelli', 'vanilla', 'malt', 'suggest', 'coconut', 'cream', 'tri', 'dous', 'fire', 'lose', 'battl', 'long', 'seemingli', 'endless', 'burn', 'ember', 'finish']",80,blended malt scotch whisky,john hansell,12000.0,2008,54,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2167,cutty sark blended malt,"['remark', 'light', 'drinkabl', 'allmalt', 'product', 'malti', 'foundat', 'citru', 'lemon', 'zest', 'tangerin', 'sherbet', 'shine', 'along', 'vanilla', 'wafer', 'white', 'chocol', 'coconut', 'ginger', 'cut', 'grass', 'worthi', 'âœbridg', 'whiskyâ', 'blend', 'whiski', 'drinker', 'curiou', 'malt', 'whiski', 'singl', 'malt', 'whiski', 'drinker', 'might', 'want', 'individu', 'whiski', 'warm', 'lazi', 'afternoon']",80,blended malt scotch whisky,john hansell,3000.0,2009,40,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,wemyss spice king 12 year old,"['least', 'assert', 'wemyss', '12', 'year', 'old', 'rang', 'flighti', 'noth', 'wrong', 'whiski', 'wellmad', 'disappoint', 'compar', 'spice', 'hit', 'offer', 'malt', 'shout', 'loudli', 'enough', 'â35']",80,blended malt scotch whisky,dominic roskrow,5500.0,2011,40,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2169,double barrel caol ilatamdhu,"['weakest', 'doubl', 'barrel', 'trio', 'offer', 'slightli', 'spiriti', 'nose', 'somewhat', 'unpleas', 'note', 'tast', 'promis', 'nose', 'deliv', 'oili', 'peati', 'caol', 'ila', 'seemingli', 'held', 'check', 'tamdhu', 'one', 'hand', 'fresh', 'zingi', 'sherbetlik', 'characterist', 'tamdhu', 'tantalizingli', 'faint', 'end', 'pepper', 'peat', 'dominateâ40']",80,blended malt scotch whisky,dominic roskrow,4900.0,2012,46,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,boutiquey whisky company distilled invergordon batch 2,"['despit', 'high', 'strength', 'aroma', 'strike', 'nose', 'like', 'pillow', 'slow', 'motion', 'greengag', 'corn', 'ripen', 'lemon', 'lift', 'glass', 'itâ', 'thick', 'unctuou', 'layer', 'mouth', 'honey', 'gooseberri', 'lemon', 'acid', 'though', 'splash', 'water', 'produc', 'softer', 'note', 'scottish', 'tablet', 'evapor', 'milk', 'littl', 'sour', 'finish', 'sure', 'part', 'allur', 'boutiquey', 'whiski', 'batch', 'variat', 'quit', 'differ', 'beast', 'magnific', 'batch', '1', 'â72']",80,blended malt scotch whisky,jonny mccormick,114.0,2014,58,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
